ticker,company_name,cik,fiscal_year,filing_type,filing_date,data_source,revenue,gross_profit,operating_income,net_income,cash_and_equivalents,total_assets,total_liabilities,long_term_debt,current_debt,operating_cash_flow,capex,shares_outstanding,depreciation_amortization,interest_expense,total_debt,sector_theme,source_type,data_mode,fundamentals_refresh_timestamp
ICE,ICE,1571949,2022,10-K,2023-02-02,sec_companyfacts,9636000000.0,,1808000000.0,1498000000.0,150343000000.0,194338000000.0,149171000000.0,18118000000.0,4000000.0,3554000000.0,225000000.0,,1031000000.0,616000000.0,18122000000.0,Alternative Asset Managers / Market Infrastructure,live_sec_companyfacts,live_api,2026-05-28T16:37:47+00:00
ICE,ICE,1571949,2023,10-K,2024-02-08,sec_companyfacts,9903000000.0,,2894000000.0,2438000000.0,80750000000.0,136084000000.0,84626000000.0,20659000000.0,1954000000.0,3542000000.0,190000000.0,,1215000000.0,808000000.0,22613000000.0,Alternative Asset Managers / Market Infrastructure,live_sec_companyfacts,live_api,2026-05-28T16:37:47+00:00
ICE,ICE,1571949,2024,10-K,2025-02-06,sec_companyfacts,11761000000.0,,3628000000.0,2802000000.0,84503000000.0,139428000000.0,89553000000.0,17341000000.0,3027000000.0,4609000000.0,406000000.0,,1537000000.0,,20368000000.0,Alternative Asset Managers / Market Infrastructure,live_sec_companyfacts,live_api,2026-05-28T16:37:47+00:00
ICE,ICE,1571949,2025,10-K,2026-02-05,sec_companyfacts,12640000000.0,,4346000000.0,3370000000.0,78614000000.0,136887000000.0,84116000000.0,18609000000.0,1035000000.0,4662000000.0,373000000.0,,1560000000.0,,19644000000.0,Alternative Asset Managers / Market Infrastructure,live_sec_companyfacts,live_api,2026-05-28T16:37:47+00:00
JHG,JHG,1274173,2022,10-K,2023-02-28,sec_companyfacts,,,375400000.0,274500000.0,1176400000.0,6237800000.0,610500000.0,307500000.0,,473300000.0,17600000.0,,31700000.0,12600000.0,307500000.0,Alternative Asset Managers / Market Infrastructure,live_sec_companyfacts,live_api,2026-05-28T16:37:47+00:00
JHG,JHG,1274173,2023,10-K,2024-02-27,sec_companyfacts,,,527000000.0,426700000.0,1168100000.0,6496600000.0,631000000.0,304600000.0,,441600000.0,10800000.0,,22900000.0,12700000.0,304600000.0,Alternative Asset Managers / Market Infrastructure,live_sec_companyfacts,live_api,2026-05-28T16:37:47+00:00
JHG,JHG,1274173,2024,10-K,2025-02-27,sec_companyfacts,,,611900000.0,445600000.0,1234800000.0,6963100000.0,735000000.0,395000000.0,,694600000.0,10100000.0,,24500000.0,18000000.0,395000000.0,Alternative Asset Managers / Market Infrastructure,live_sec_companyfacts,live_api,2026-05-28T16:37:47+00:00
JHG,JHG,1274173,2025,10-K,2026-02-25,sec_companyfacts,,,1153300000.0,907600000.0,1293500000.0,8287000000.0,912500000.0,395500000.0,,719500000.0,8600000.0,,36300000.0,24200000.0,395500000.0,Alternative Asset Managers / Market Infrastructure,live_sec_companyfacts,live_api,2026-05-28T16:37:47+00:00
KKR,KKR,1404912,2022,10-K,2023-02-27,sec_companyfacts,5721195000.0,,-1059200000.0,-1023528000.0,13385370000.0,,,,,-5279259000.0,,,,1550777000.0,,Alternative Asset Managers / Market Infrastructure,live_sec_companyfacts,live_api,2026-05-28T16:37:47+00:00
KKR,KKR,1404912,2023,10-K,2024-02-29,sec_companyfacts,14499312000.0,,6554609000.0,5357086000.0,20808120000.0,317294194000.0,258915282000.0,,,-1493812000.0,,,,2772088000.0,,Alternative Asset Managers / Market Infrastructure,live_sec_companyfacts,live_api,2026-05-28T16:37:47+00:00
KKR,KKR,1404912,2024,10-K,2025-02-28,sec_companyfacts,21878698000.0,,5860433000.0,4906037000.0,15367953000.0,360099411000.0,298114719000.0,,,6649878000.0,,,,,,Alternative Asset Managers / Market Infrastructure,live_sec_companyfacts,live_api,2026-05-28T16:37:47+00:00
KKR,KKR,1404912,2025,10-K,2026-02-27,sec_companyfacts,19464307000.0,,7099160000.0,6145412000.0,17151790000.0,410144072000.0,328512161000.0,,,477760000.0,,,,,,Alternative Asset Managers / Market Infrastructure,live_sec_companyfacts,live_api,2026-05-28T16:37:47+00:00
LAZ,LAZ,1311370,2022,10-K,2023-02-23,sec_companyfacts,2855093000.0,,516848000.0,392483000.0,1234773000.0,5852561000.0,4593691000.0,,,833984000.0,49511000.0,,42336000.0,81522000.0,,Alternative Asset Managers / Market Infrastructure,live_sec_companyfacts,live_api,2026-05-28T16:37:47+00:00
LAZ,LAZ,1311370,2023,10-K,2024-02-23,sec_companyfacts,2593162000.0,,-79957000.0,-57307000.0,971316000.0,4635781000.0,4065919000.0,,,164662000.0,28297000.0,,42853000.0,77673000.0,,Alternative Asset Managers / Market Infrastructure,live_sec_companyfacts,live_api,2026-05-28T16:37:47+00:00
LAZ,LAZ,1311370,2024,10-K,2025-02-24,sec_companyfacts,3139904000.0,,386472000.0,286708000.0,1308218000.0,4793993000.0,4029210000.0,,,742828000.0,45498000.0,,36281000.0,88067000.0,,Alternative Asset Managers / Market Infrastructure,live_sec_companyfacts,live_api,2026-05-28T16:37:47+00:00
LAZ,LAZ,1311370,2025,10-K,2026-02-23,sec_companyfacts,3186466000.0,,327598000.0,251020000.0,1469416000.0,4940734000.0,3951604000.0,,,519325000.0,31946000.0,,34189000.0,,,Alternative Asset Managers / Market Infrastructure,live_sec_companyfacts,live_api,2026-05-28T16:37:47+00:00
